nome originale;nome modificato;indirizzo (link);licenza;modificato;uso
android-stair-drawer_icon-icons.com_50494.png;ico-act.png;https://icon-icons.com/icon/android-stair-drawer/50494;Free for commercial use;si;si
funnel_icon-icons.com_50384.png;ico-funnel.png;https://icon-icons.com/icon/funnel/50384;Free for commercial use;si;no
arrow-right-b_icon-icons.com_50464.png;ico-start.png;https://icon-icons.com/icon/arrow-right-b/50464;Free for commercial use;si;si
android-information_icon-icons.com_50516.png;ico-help.png;https://icon-icons.com/icon/android-information/50516;Free for commercial use;si;no
ios7-pause_icon-icons.com_50211.png;ico-pause.png;https://icon-icons.com/icon/ios7-pause/50211;Free for commercial use;si;si
ios7-trash_icon-icons.com_50139.png;ico-del.png;https://icon-icons.com/icon/ios7-trash/50139;Free for commercial use;si;no
ios7-trash_icon-icons.com_50139.png;ico-del-open.png;https://icon-icons.com/icon/ios7-trash/50139;Free for commercial use;si;si
ios7-trash-outline_icon-icons.com_50140.png;ico-del-outline.png;https://icon-icons.com/icon/ios7-trash-outline/50140;Free for commercial use;si;si
arrow-return-right_icon-icons.com_50466.png;ico-return.png;https://icon-icons.com/icon/arrow-return-right/50466;Free for commercial use;si;si
ios7-information_icon-icons.com_50248.png;ico-help-outline.png;https://icon-icons.com/icon/ios7-information/50248;Free for commercial use;si;si
ios7-home-outline_icon-icons.com_50254.png;ico-home.png;https://icon-icons.com/icon/ios7-home-outline/50254;Free for commercial use;si;si
arrow-left-c_icon-icons.com_50470.png;ico-back.png;https://icon-icons.com/icon/arrow-left-c/50470#128;Free for commercial use;si;si
arrow-right-c_icon-icons.com_50463.png;ico-forward.png;https://icon-icons.com/icon/arrow-right-c/50463#128;Free for commercial use;si;si
compose_icon-icons.com_50412.png;;https://icon-icons.com/icon/compose/50412;Free for commercial use;no;no
log-out_icon-icons.com_50106.png;;https://icon-icons.com/icon/log-out/50106;Free for commercial use;no;no
save_3621.png;;https://icon-icons.com/icon/save/3059;Free for commercial use;si;si
compose_icon-icons.com_50412.png;;https://icon-icons.com/icon/compose/50412;Free for commercial use;si;si
